city,country,host,id,price,review,stars,timestamp,titre
"hazmieh, lebanon",lebanon,besthoteloffers.net,1043725,3508.0,8.0,4,2018-06-24 12:51:48.017913,lancaster tamar hotel- hadath
"amman, jordan",jordan,besthoteloffers.net,1358501,1370.0,6.7,3,2018-06-24 12:51:48.017913,al-fanar palace hotel
"sin el fil, lebanon",lebanon,besthoteloffers.net,1497019,3508.0,7.2,4,2018-06-24 12:51:48.017913,padova hotel
"beirut, lebanon",lebanon,besthoteloffers.net,1604347,2339.0,6.0,2,2018-06-24 12:51:48.017913,regis hotel beirut
"amman, jordan",jordan,besthoteloffers.net,2493793,2195.0,5.4,3,2018-06-24 12:51:48.017913,nadine hotel suites
"jounieh, lebanon",lebanon,besthoteloffers.net,1761025,2728.0,6.0,4,2018-06-24 12:51:48.017913,four stars hotel and beach club
"kerak, jordan",jordan,besthoteloffers.net,1880410,606.0,6.0,2,2018-06-24 12:51:48.017913,cairwan hotel
"beirut, lebanon",lebanon,besthoteloffers.net,1528980,1447.0,6.0,4,2018-06-24 12:51:48.017913,caesar's park hotel beirut
"manara, beirut",lebanon,besthoteloffers.net,1596530,3508.0,,4,2018-06-24 12:51:48.017913,white house apartments beirut
"ramm, jordan",jordan,besthoteloffers.net,1734064,1026.0,9.0,1,2018-06-24 12:51:48.017913,wadi rum full moon camp & tours
"beirut, lebanon",lebanon,besthoteloffers.net,1772671,3118.0,,1,2018-06-24 12:51:48.017913,santonaresidence
"aqaba, jordan",jordan,besthoteloffers.net,3160033,3983.0,,4,2018-06-24 12:51:48.017913,sol y mar beau rivage boutique resort
"jbeil byblos, lebanon",lebanon,besthoteloffers.net,2769320,2046.0,7.4,2,2018-06-24 12:51:48.017913,hotel amada
"amman, jordan",jordan,besthoteloffers.net,1650633,3032.0,6.9,4,2018-06-24 12:51:48.017913,zamzam towers hotel
"aqaba, jordan",jordan,besthoteloffers.net,1886168,1646.0,,1,2018-06-24 12:51:48.017913,dweik hotel 1
"chtaura, lebanon",lebanon,besthoteloffers.net,2494521,4677.0,8.5,4,2018-06-24 12:51:48.017913,delora hotel and suites
"jounieh, lebanon",lebanon,besthoteloffers.net,1968058,14617.0,8.4,4,2018-06-24 12:51:48.017913,luxor hotel jounieh
"wadi musa, jordan",jordan,besthoteloffers.net,1650440,1317.0,8.7,1,2018-06-24 12:51:48.017913,sharah mountains hotel
"jounieh, lebanon",lebanon,besthoteloffers.net,1277711,1686.0,6.1,4,2018-06-24 12:51:48.017913,zoukotel hotel jounieh
"ramm, jordan",jordan,besthoteloffers.net,1650567,1996.0,,3,2018-06-24 12:51:48.017913,dunes camp
"al hamra, beirut",lebanon,besthoteloffers.net,1279672,2144.0,5.0,3,2018-06-24 12:51:48.017913,marble tower hotel
"amman, jordan",jordan,besthoteloffers.net,2224841,1482.0,,2,2018-06-24 12:51:48.017913,haya amman hotel suites
"aqaba, jordan",jordan,besthoteloffers.net,3030334,3018.0,,4,2018-06-24 12:51:48.017913,dweik hotel 3
"sin el fil, lebanon",lebanon,besthoteloffers.net,1623509,3508.0,7.7,4,2018-06-24 12:51:48.017913,the cosmopolitan hotel beirut
"amman, jordan",jordan,besthoteloffers.net,1755511,1976.0,8.0,3,2018-06-24 12:51:48.017913,crystal hotel amman
"raoucheh, beirut",lebanon,besthoteloffers.net,1604001,4307.0,,5,2018-06-24 12:51:48.017913,britannia suites beirut
"irbid, jordan",jordan,besthoteloffers.net,1985878,2839.0,6.0,4,2018-06-24 12:51:48.017913,sedrh hotel
